"year","month","day","type","authors","title","venue","detail","place","award","url","doi","note","reviewed","sortkey"
"2025","10","12","workshop","Y. Li, R. Takahashi, I. Wicaksono, W. Yukita, Y. Iwamoto, S. Lee, T. Yokota, T. Someya, and Y. Kawahara","Plug-n-play e-knit with LED-based sensor positioning","Proc. of ACM UbiComp 2025","Intelligent Soft Wearables Workshop","Espoo, Finland","","","","","yes","20251012"
"2025","10","","conference","Y. Li, M. Fukumoto, M. Kari, S. Ishida, A. Noda, T. Yokota, T. Someya, Y. Kawahara, and R. Takahashi†","Ultra-low-power ring-based wireless tinymouse","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology (ACM UIST)","Article 22, 1-12","Busan, Korea","","https://dl.acm.org/doi/10.1145/3746059.3747615","10.1145/3746059.3747615","","yes","20251000"
"2025","10","","workshop","T. C. Yu, C. Honnet, T. Cheng, R. Takahashi, B. Zhou, C. Zhang, J. A. Paradiso, Y. Kawahara, P. Lukowicz, J. Hester, Y. Luo, and I. Wicaksono","Intelligent Soft Wearables","Proc. of ACM UbiComp 2025","1123-126","Espoo, Finland","","https://softwearables.github.io/#ubicomp-2025","","","yes","20251000"
"2025","09","28","demo","Y. Li, M. Fukumoto, M. Kari, S. Ishida, A. Noda, T. Yokota, T. Someya, Y. Kawahara, and R. Takahashi†","Ultra-low-power ring-based wireless tinymouse","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology (ACM UIST)","","Busan, South Korea","","https://programs.sigchi.org/uist/2025/program/content/209728","","","yes","20250928"
"2025","09","","domestic","山本英昂,李蘊韜,韓燦教,横田知之,染谷隆夫,川原圭博,高橋亮†","指輪-リストバンドコイル間の磁気結合を用いた超低電力な指輪型無線XRコントローラの設計","信学ソ大2025","B-15-32","岡山","","https://pub.confit.atlas.jp/ja/event/society2025/presentation/B-15-32","","","no","20250900"
"2025","09","","domestic","高橋亮*†,Y. Li,福本雅朗,M. Kari,山本英昂,野田聡人,石田繁巳,横田知之,染谷隆夫,川原圭博","超低電力な指輪型無線マウス","情報処理学会 UBI研究会","第87回","富山","優秀論文賞","","","","no","20250900"
"2025","06","","domestic","韓燦教,高橋亮,野田聡人,川原圭博","Roam beyond Battery: 長期的な屋内広範囲運用に向けた無線給電対応の小型移動ロボットネットワーク","ROBOMECH2025","2A1-J10","山形","","https://robomech.org/2025/schedule/","","","no","20250600"
"2025","06","","domestic","保坂琉介,金田礼人,林渓人,中島康貴,高橋亮,雪田和歌子,横田知之,染谷隆夫,亀﨑允啓,川原圭博,佐藤峻,来見田淳也,岩瀬英治,山本元司","移動関節ヘビ型ロボット:任意の体幹位置を能動屈曲可能なヘビ型ロボットによるセンサレス狭路推進制御の検討","ROBOMECH2025","2A1-R01","山形","","https://robomech.org/2025/schedule/","","","no","20250600"
"2025","05","","journal","A. Kanada*, R. Takahashi*, K. Hayashi, R. Hosaka, W. Yukita, Y. Nakashima, T. Yokota, T. Someya, M. Kamezaki, and Y. Kawahara","Joint-repositionable Inner-wireless Planar Snake Robot","IEEE Robotics and Automation Letters","Vol. 10, No. 5, pp. 4994-5001","","Best Paper Award","https://doi.org/10.1109/LRA.2025.3555394","","","yes","20250500"
"2025","05","","domestic","T. Sato, S. Watanabe, R. Takahashi, T. Yokota, T. Someya, Y. Kawahara, and E. Iwase","Design of full-body wireless charging-enabled textiles with liquid metal-based jointing","The 8th Event of the Researchers Society for Flexible and Stretchable Electronics","","Hokkaido,Japan","","https://fsejp.weebly.com/8th-event-may-22_23-2025.html","","","no","20250500"
